,fail_type,failure frequency,Number of cases,Dispute rate %
0,,1,1870.0,0.020320855614973262
1,,"[2, 5)",12988.0,0.008854327071142594
2,,"[6, 10)",5465.0,0.014821591948764867
3,,"[11, 15)",403.0,0.004962779156327543
4,,"[11, 15)",1348.0,0.019287833827893175
5,,,1197.0,0.03341687552213868
6,,,1574.0,0.04955527318932656
7,3d,1,300.0,0.03666666666666667
8,3d,"[2, 5)",633.0,0.017377567140600316
9,3d,"[6, 10)",559.0,0.02146690518783542
10,3d,"[11, 15)",153.0,0.013071895424836602
11,3d,"[11, 15)",208.0,0.02403846153846154
12,3d,,246.0,0.06504065040650407
13,3d,,429.0,0.04895104895104895
14,account,1,107.0,0.056074766355140186
15,account,"[2, 5)",678.0,0.007374631268436578
16,account,"[6, 10)",281.0,0.0071174377224199285
17,account,"[11, 15)",14.0,0.0
18,account,"[11, 15)",80.0,0.0125
19,account,,76.0,0.05263157894736842
20,account,,114.0,0.07894736842105263
21,auth,1,218.0,0.045871559633027525
22,auth,"[2, 5)",897.0,0.008918617614269788
23,auth,"[6, 10)",578.0,0.01903114186851211
24,auth,"[11, 15)",18.0,0.0
25,auth,"[11, 15)",193.0,0.02072538860103627
26,auth,,199.0,0.06532663316582915
27,auth,,299.0,0.05351170568561873
28,card,1,621.0,0.027375201288244767
29,card,"[2, 5)",2772.0,0.007575757575757576
30,card,"[6, 10)",1507.0,0.007962840079628402
31,card,"[11, 15)",162.0,0.0
32,card,"[11, 15)",465.0,0.01935483870967742
33,card,,472.0,0.025423728813559324
34,card,,688.0,0.055232558139534885
35,decline,1,460.0,0.02608695652173913
36,decline,"[2, 5)",1559.0,0.005772931366260423
37,decline,"[6, 10)",1058.0,0.010396975425330813
38,decline,"[11, 15)",447.0,0.0022371364653243847
39,decline,"[11, 15)",339.0,0.02654867256637168
40,decline,,350.0,0.03428571428571429
41,decline,,536.0,0.03731343283582089
42,fraud,1,1329.0,0.03235515425131678
43,fraud,"[2, 5)",4710.0,0.015074309978768578
44,fraud,"[6, 10)",3316.0,0.016586248492159228
45,fraud,"[11, 15)",388.0,0.010309278350515464
46,fraud,"[11, 15)",1079.0,0.029657089898053754
47,fraud,,1009.0,0.04757185332011893
48,fraud,,1478.0,0.05548037889039242
49,funds,1,1621.0,0.02282541640962369
50,funds,"[2, 5)",8877.0,0.00844880027036161
51,funds,"[6, 10)",4275.0,0.01590643274853801
52,funds,"[11, 15)",937.0,0.004268943436499467
53,funds,"[11, 15)",1160.0,0.019827586206896553
54,funds,,1108.0,0.033393501805054154
55,funds,,1468.0,0.05449591280653951
56,honor,1,113.0,0.017699115044247787
57,honor,"[2, 5)",387.0,0.0
58,honor,"[6, 10)",289.0,0.020761245674740483
59,honor,"[11, 15)",8.0,0.0
60,honor,"[11, 15)",92.0,0.043478260869565216
61,honor,,106.0,0.04716981132075472
62,honor,,151.0,0.039735099337748346
63,invalid,1,346.0,0.028901734104046242
64,invalid,"[2, 5)",1242.0,0.007246376811594203
65,invalid,"[6, 10)",781.0,0.010243277848911651
66,invalid,"[11, 15)",173.0,0.005780346820809248
67,invalid,"[11, 15)",266.0,0.03007518796992481
68,invalid,,265.0,0.045283018867924525
69,invalid,,377.0,0.050397877984084884
70,limit,1,121.0,0.01652892561983471
71,limit,"[2, 5)",250.0,0.008
72,limit,"[6, 10)",241.0,0.02074688796680498
73,limit,"[11, 15)",0.0,0.0
74,limit,"[11, 15)",118.0,0.01694915254237288
75,limit,,131.0,0.022900763358778626
76,limit,,277.0,0.05415162454873646
77,risk,1,967.0,0.020682523267838676
78,risk,"[2, 5)",3657.0,0.006289308176100629
79,risk,"[6, 10)",2090.0,0.01674641148325359
80,risk,"[11, 15)",51.0,0.0
81,risk,"[11, 15)",712.0,0.011235955056179775
82,risk,,756.0,0.02513227513227513
83,risk,,1063.0,0.045155221072436504
84,violation,1,133.0,0.015037593984962405
85,violation,"[2, 5)",285.0,0.0035087719298245615
86,violation,"[6, 10)",232.0,0.021551724137931036
87,violation,"[11, 15)",10.0,0.0
88,violation,"[11, 15)",92.0,0.010869565217391304
89,violation,,133.0,0.022556390977443608
90,violation,,212.0,0.07547169811320754
